PRN,Registration number,PRO number,Acquisition Source - Name,Acquisition Source - Association,Acquisition Source - Comment,Acquisition Date,Object Name - Object Name,COL LINK ,Object Name - Comment,Material,Material - Comment,Technique,Technique - Comment,Title,Title type,Title translation,Physical description,Subject - Subject,Subject - Comment,Associated name - Name,Associated name - Association,Associated name - Comment,Associated place,Associated place - Association,Associated place - Site Details,Associated place - Comment,Associated title - Title,Associated title - Association,Associated title - Comment,Associated event - Event,Associated event - Association,Associated event - Comment,Associated event - Date,Associated event - Date comment,Associated ethnic name - Ethnic Name,Associated ethnic name - Association,Associated ethnic name - Comment,Associated object - Object,Associated object - Association,Authority - Name,Authority - Association,Authority - Comment,Banknote Serial Number - Number,Banknote Serial Number - Comment,Bibliographic reference - Citation,Bibliographic reference - Reference,Bibliographic reference - Comment,BM/Big No - Prefix,BM/Big No - Number,BM/Big No - item,Category,Collection Name,Comment,Curatorial Comment - By,Curatorial Comment - Date,Credit line,Denomination - Value,Denomination - Currency,Denomination - Comment,Dimension,Dimension value,Dimension value end,Dimension measurement unit,Dimension comment,Dimension note,Display - Gallery/Exhibition/Project,Display - Label text,Escapement - Escapement,Escapement - Comment,Excavator/Field collector - Name,Excavator/Field collector - Association,Excavator/Field collector - Comment,Excavation/Field Collection Note,"Exhibitions, Loans and Displays - Current and Past","Exhibitions, Loans and Displays - Proposed and Promised",Findspot - Place,Findspot - Association,Findspot - Site details,Findspot - Comment,General/Confidential notes,Inscription type,Inscription language,Inscription position,Inscription - Quoted,Inscription script,Inscription subject,Inscription translation,Inscription transliteration,Inscription - Note,Location,Location availability,Location - comment,Location date,Location user,Material Culture/Period - Material Culture/Period,Material Culture/Period - Comment,Number of Objects,Object History Note / Acquisition Note,Other number,Other number type,Other number - Comment,Previous department - Department,Previous department - Comment,Previous owner - Name,Previous owner - Association,Previous owner - Comment,Price - Price,Price - Comment,Producer/Artist - Name,Producer/Artist - Association,Producer/Artist - Comment,Production date,Production date - Comment,Production ethnic name - Ethnic Name,Production ethnic name - Association,Production ethnic name - Comment,Production place,Production place - Association,Production place - Site details,Production place - Comment,Ownership Status,Responsible department,Sub-database,School/Style,School/Style - Comment,Source documentation,State - State,State - Comment,State - Association,Type Series - Type Series,Type Series - Comment,Ware - Ware,Ware - Comment
RRM49732,SL.4,PRO177888,"Sloane, Hans;",B;,;,1753,amulet,https://www.britishmuseum.org/collection/object/W_SL-4,,chalcedony,,engraved,,,,,"Amulet; oval yellow chalcedony, flat top and base with straight sides, engraved with cursive inscription in the center against a hatched ground and in the margin. Double lines around the edge of the stone.  Dated to 1077/1666-7. ",,,,,,,,,,Qur'an,IT,,,,,,,,,,,,,,,,,Porter 2011,A110,,,,,,Sloane Bequest,,,,,,,,H~W~T,36.00~45.00~5.00,~~,mm~mm~mm,~~,,G42 Albukhary Foundation Gallery of the Islamic World,"Sloane:  the foundation Among the 71,000 objects collected by Hans Sloane (d. 1753), founder of the British Museum, were Persian amulets with Qur’anic inscriptions. These were translated by Ayuba (‘Job’) Suleiman Diallo an enslaved Muslim from Bundu (Senegal), brought to London in 1733 and befriended by Sloane.  Diallo was later freed, returning home in 1734.  (1-5) Iran, 1650–1700, Sloane amulet 4,6,9,15, and 17",,,,,,,,,,,,,,inscription~inscription,Arabic~Arabic,One side~Margin,بشم الله الرحمان الرحىم نصر من الله و  فتح قرىب~االه لاله الاهو الحى القىوم لا تاخذه سنة  ولا نوملم فى السموات وما قى الا رض من ذا الذى ىشفع عنده الا باذنه ىعلم مابىن اىدىهم وما خلفهم ولاىحىصون بشئ من عامه الا بما شاء وسع كرسىه السو ات و الا رض ىؤده حفضهم وهو  العلى العضىم ١٠٧٧,Arabic~,,~,"Basmala. Help fom God and a victory near. (Qur'an 61:13)~In two rows:  'God. There is no God but Him, the Living, The Eternal. Neither slumber nor sleep seize Him. To Him belongs all that is in the heavens and all that is on earth. Who is there to intercedes with Him, save by His permission? He knows what is before them and what is after them, while they encompass none of His knowledge apart from that which He wishes. His throne extends over the heavens and the earth, and He is not tired of guarding them. He is the Most High and the Supreme'. (Qur'an 2:255)",~,G42/dc19,G,,18 Oct 2018,vditommaso,Safavid dynasty,,1,,,,,,,,,,,,,,,1666-1667,AH 1077,,,,Iran,M,,,CL,W,RRM,,,O~R,,,,,,,
MCN298,SLMisc.1693,PRO337409,"Sloane, Hans;",B;,;,1753,cup,https://www.britishmuseum.org/collection/object/H_SLMisc-1693,,earthenware~gold,~,gilded~tin-glazed,~,,,,"Cup of inverted bell-shape with flaring foot. Earthenware, covered inside and out with a presumed tin-glaze. Painted with a continuous scene: apparently Moses striking water from the rock and figures taking water from the resulting waterfall. The foot and inner rim are gilt.",old testament,,Moses,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RL,Sloane Bequest~Post-Classical Italian Pottery,"Text from Hans Sloane Manuscript Catalogue: 'Eleven chocolate cups of various shapes & designs, some broken from Abbe Sterbini's collection.'   Bernardo Sterbini was a Rman dealer in antiquities with clients in London and Venice in the 1730s.",aluthi,21 Sep 2010,,,,,H~H,7.80~8.70,~,cm~cm,~rim,,,,,,,,,,"Exhibited: 2010 5 Jul-24 Dec, London, Royal College of Physicians, Sir Hans Sloane: Discovery, Travels and Chocolate.",,,,,,,,,,,,,,,,G1/fc1,G,,18 Aug 2020,jbbaker,,,1,,,,,,,,,,,,,,,1700-1750,,,,,Savona,M,,,CL,H,MCN,,,RC~R~O,,,,,,Maiolica,
PDB26972,"SL,5270.76",PRO208652,"British Library;Sloane, Hans;",T;B;,;;,1753,drawing~album,https://www.britishmuseum.org/collection/object/P_SL-5270-76,~?,paper,,drawn,,,,,"Sandhill Crane (Grus canadensis Linn), leaf from a volume (now consisting of 113 leaves of drawings), possibly after a lost drawing by John White Watercolour, touched with white",bird,,,,,Virginia (state),IT,,,,,,,,,,,,,,,,,,,,,Croft-Murray 1960~Hulton & Quinn 1964~Binyon 1898-1907~Sloan 2007,78(76)~58(a)~3(93)~pp. 230-1,~~~,,,,,Sloane Bequest,"These cranes can no longer be seen in North Carolina. The wings have extended feathers at the tips which droop over its rear and look like a tail. The artist here has turned them into a true tail, a common mistake.  See curatorial comment for BM SL-5270.1 for a discussion of the album which contains this series of drawings and SL,5270.75 for a discussion of the series of drawings of birds (SL,5270.75 to 96).",,,,,,,H~W,390.00~257.00,~,mm~mm,~,,,,,,,,,,"2007 Mar-Jun, BM, 'A New World:...' 2007/8 Oct-Jan, Raleigh, North Caroline Mus of History, 'A New World:...' 2008 Mar-Jun, New Haven, Yale Center for British Art, 'A New World:...' 2008 Jul-Oct, Williamsburg, Jamestown Settlement, 'A New World:...'",,,,,,,inscription,,,"Inscribed: ""Taráwkow. The Crane."" and in an eighteenth century hand: ""94"" Verso numbered: ""73""",,,,,,British Roy PI,,"Removed from SL,5270 in July 2006.",11 Feb 2021,vditommaso,,,1,See Acq.Hist in BM SL-5270.1. Transferred from the Department of Manuscripts.,,,,,,,,,,,"White, John",AT,,1585-1593,,,,,,,,,CL,P,PDB,British~American,~,O~B~C,,,,,,,
PDB26895,"SL,5270.7",PRO208652,"British Library;Sloane, Hans;",T;B;,;;,1753,drawing~album,https://www.britishmuseum.org/collection/object/P_SL-5270-7,~?,paper,,drawn,,,,,"Recto: Tupinamba Indians mourning, leaf from a volume (now consisting of 113 leaves of drawings); a dead man, suspended in a hammock, mourned by four women, two crouched in the foreground covering their faces with their hands, and a man behind holding a dance rattle, both men with a plug or labret in their chins Watercolour, with bodycolour and pen and brown ink Verso: A Tupinamba Indian from Brazil; standing, nude, his body embellished with vertical parallel scars, with shaved head and wearing a labret, a club with feathers in his right hand, and a severed head on the ground Watercolour, with bodycolour and pen and brown ink",south american~death,~,,,,Brazil (country),AW,,,,,,,,,,,Tupinamba,IR,,,,,,,,,Croft-Murray 1960~Hulton & Quinn 1964~Hulton & Quinn 1964~Binyon 1898-1907~Binyon 1898-1907~Sloan 2007,78(7)~120~119(a)~3(2)~3(3)~pp. 226-7,~~~~~,,,,,Sloane Bequest,"For the album from which this comes, see curatorial comment for BM SL-5270.1. This is one of a group of five drawings of Tupinamba in the album (the others are SL,5270,9r,v and 10r,v). They have recently been discussed in the exhibition catalogue, Kim Sloan, 'A New World: England's first view of America', London, BM, 2007, pp. 226-7,  the text of which follows here:  WATERCOLOURS OF TUPINAMBÁ INDIANS OF BRAZIL   In addition to versions of the Inuit, Indian and costume studies, the Sloane volume contains these five images of the Tupinambá from the Amazon in Brazil. They are not direct copies but certainly related to five woodcuts which appeared in Jean de Léry’s 'Histoire d’vn Voyage fait en la terre dv Bresil avtrement dite Amerique' (La Rochelle) in 1578 (fig. 148; all reproduced in PH&DBQ, pl. 148).   As Christian Feest has noted in Chapter 5, Hans Staden, working for the Portuguese who had controlled Brazil from 1500, was captured by a group of Tupinambá in 1553 and published an illustrated account of his year with them in 1557, which was in turn the basis for de Bry’s America part III in 1592. Also in 1557, André Thevet published his 'Les Singularitez de la France Antarctique avtrement nommee Amerique …' (Paris). Thevet was a Catholic, a cosmographer of the King of France and lived in the colony the French attempted to establish on the site of Rio di Janeiro. His account was also illustrated, although the images owed much to the invention of their Flemish engravers. Both Staden’s and Thevet’s accounts, with their shocking images of cannibalism and naked people with distinctive feather ornaments on their heads and buttocks, had an immediate impact on the European imagination and these became the identifying attributes of allegorical images representing all indigenous Americans, North and South, until and even long after John White’s and Le Moyne’s images appeared in Parts I and II of de Bry’s 'America' in the 1590s.  This collective idea of the inhabitants of the New World was reinforced by Thevet’s re-use of his images and variations of them in his 'Cosmographie Universelle … illustree de diverses figures' (Paris) in 1575 and his 'Les Vrais Pourtraits et vies des hommes illustres' (Paris) in 1584, both widely circulated. Jean de Léry, however, a Calvinist member of the same French colony as Thevet, actually fled to the Tupinambá because of the increasing hostility of the colony’s Catholic leader. He published his own 1578 account with its five woodcuts to which these watercolours relate, as a reply to Thevet and an attack on French Catholicism. De Léry wrote that he had lived amongst the Tupinambá for a year ‘so as I might conceive in my mind a certain idea or proportion of them, yet I say, by reason of their diverse gestures and behaviours, utterly different from ours, it is a very difficult matter to express their true proportion, either in writing or in painting: but if any one covet to enjoy the full pleasure of them, I could wish him to go into America himself’ (p. 129, cited in PH&DBQ 33). Just as Hakluyt, Harriot and de Bry were to do, Thevet emphasized the more civilized societal, familial and religious aspects of the lives of the Indians of America and employed his account as a tool of Protestant propaganda. He indicated that Catholic powers ruled through suppression with violence and slavery and were met by violence in return while the Protestant argument was that understanding the Indians, living amongst and working with them and teaching them the values of Christianity by example was the best way of achieving successful colonization in America.  De Léry adapted some of the features of Thevet’s illustrations for his own five woodcuts but isolated the figures, removing them from the landscape backgrounds that the engravers had provided and making them individual portraits and illustrating ceremonies just as John White’s and Le Moyne’s original watercolours were to do. The differences between these watercolours and de Lery’s woodcuts seem to indicate that the latter were not the direct source of these watercolours and there seems to have been an intermediate set of images, now lost.   Some of the images have been mounted on the backs of others; all are pen and brown ink with watercolour, heightened with lead pigments.   Lit.: LB 3 (2–5), ECM 78 (7–10), PH&DBQ 119–23 and PH 44–8. Sloane copies BL Add MS 5253, nos 23, 24, 25, 28, 29. I am indebted to Christian Feest for information about Thevet and Léry’s accounts (see Chapter 5 notes for additional literature)",,,,,,,H~W,388.00~260.00,~,mm~mm,~,,,,,,,,,,"2007 Mar-Jun, BM, 'A New World:...' 2007/8 Oct-Jan, Raleigh, North Carolina Mus of History, 'A New World:...' 2008 Mar-Jun, New Haven, Yale Center for British Art, 'A New World:...' 2008 Jul-Oct, Williamsburg, Jamestown Settlement, 'A New World:...'",,,,,,,inscription,,,"Recto numbered in an eighteenth century hand: ""3"" Verso numbered: ""6"" (top left) and in an eighteenth century hand ""2""",,,,,,British Roy PI,,"Removed from SL,5270 in July 2006.",11 Feb 2021,vditommaso,,,1,See Acq.Hist in BM SL-5270.1. Transferred from the Department of Manuscripts.,,,,,,,,,,,"Léry, Jean de~White, John",AT~AT,?~,1585-1593,,,,,,,,,CL,P,PDB,British~American,~,O~B~C,,,,,,,
ENA213,"Am,SLMisc.1368",PRO207077,"Sloane, Hans;",B;,;,1753,drum,https://www.britishmuseum.org/collection/object/E_Am-SLMisc-1368,,camwood~deer skin~antelope skin~African cordia~fibre,Baphia nitida~?~?~~Clappertonia ficifolia and Raphia,,,,,,"Drum (Apentemma) goblet shaped open drum with a hollow pedestal, the main body made of wood (Cordia africana), with six wood pegs (Baphia nitida), a skin head (deer or antelope?) and cord made of two main vegetable fibres (Clappertonia ficfolia and Raphia) - among others - which is around the head of the drum and attached to the pegs; there is a coating on the wood of proteinacious glue and ochre-containing iron oxide pigment.  The top half of the drum has the pegs and no decoration, there is a raised ring with vertical lines carved around the middle of the circumference of the drum, and decoration below this raised ring consisting of carved notches, which divides the drum into three vertical sections and within those sections designs with rectangels or squares that are alternately blank or with carved vertical lines.  The foot of the drum has no design.",,,,,,,,,,,,,,,,,,African-American,AW,,,,,,,,,Romanek 2010~King 1999~MacGregor 1994~Vlach 1978~Watkins 1976~Braunholtz 1970~Braunholtz 1953~Bushnell 1906~MacGregor 2010,"~p.79~p. 234, p. 243 (note 93)~p.20, fig.5~p.75, fig.51~pl. 17, pp. 20-27~pl. VIII~pp. 676-678, pl. XXXV~86",~~~~~~~~,,,,,Sloane Bequest,"The apentema (aka Apentemma) was made in the early 18th century and would have been part of one of any number of drum groups or ensembles from West Africa -   fontomfrom , Adowa, Kete or Abofoe.  the drum is played with an open hand, not sticks.",dromanek,21 Apr 2010,,,,,H~D~W,41.00~24.00~28.00,~~,cm~cm~cm,~~at widest,,,,,,Clerk,FC,,,"Exhibited:  1976, National Museum of History and Technology, Smithsonian Institution; A Nation of Nations 1994-1999 Oct-May, Merseyside Maritime Museum, Liverpool; Transatlantic Slavery Gallery 1999-2010 25 Jun-9 Aug, BM Room 26; Gallery of North America, Case: ""The Southeastern Woodlands"" 2010 10 Aug-12 Oct, BM Room 3; Akan Drum: The Drummer Is Calling Me 2010-2011 12 Oct-1 Oct, BM Room 26; Gallery of North America, Case: ""The Southeastern Woodlands"" 2010-2011, London, BM/BBC, 'A History of the World in 100 Objects' 2011-2012 25 Oct - 5 Feb, Perth, Western Australian Museum, Extraordinary Stories from the British Museum 2012 2 Apr- Present, BM Room 26; Gallery of North America, Case: ""The Southeastern Woodlands""",,Virginia,F,,,,annotation,English,on the drum's surface,A Drum  from Virginia,,,,,Handwritten in pen,G26/dc3,G,,25 Nov 2010,,,,1,"The Sloane register records that this drum was acquired from a Mr. Clerk of Virginia, then a British colony, by Hans Sloane in the early eighteenth century. The records suggest that Clerk may have collected it from an ""Indian"" group, although its association with the slave trade is clear based on the African materials and origin.",Am1753D10.1368,CDMS number,old CDMS no.,,,,,,,,,,,18thC,,Akan,M,,Ghana,M,,,CL,E,ENA,,,O~ED,,,,,,,
EEU3,"Eu,SLMisc.1103",PRO207077,"Sloane, Hans;",B;,;,1753,drum,https://www.britishmuseum.org/collection/object/H_Eu-SLMisc-1103,,wood~skin,~,painted~carved,~,,,,"Drum made of wood and skin, of bowl-drum type, the bowl carved from a single piece of pinewood, with reindeer skin stretched across. The skin is covered in painted designs using ink made from chewed alder bark, and depicting maps, guides and accounts of journeys to the worlds of spirits and gods. Grip at rear formed by two oblong openings cut out of the bowl.         The skin is strengthened at the edges with thread made of skin, then held with wood pegs round the sides, and sewn on through holes pierced in the bowl. |The thread passes through the sides and the back of the bowl. Metal nails at three points provide further reinforcement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sloane Bequest,"Text from Hans Sloane Manuscript Catalogue: 'A Lapland Drum. Lucian Bacchus. p. 850. b'.  See H.J. Braunholtz, Sir Hans Sloane and Ethnography 1970, pl.4; pp.10-11.  Text from Room 3 display, 2003: 'Among Sami people, a drum such as this was an important tool for survival. They were magical weapons that, in the hands of a skilled person, could help to protect the community. Magic drums were used by Sami for many generations, and this may be among the oldest surviving examples. The skin has layers of images, some worn or rubbed away, others added, perhaps through years of use.          In the 1600s Christian missionaries fiercely persecuted Sami people, associating their traditional beliefs with witchcraft. Some Sami added Christian imagery to their drums in an unsuccessful attempt to make them acceptable. Others continued to use drums in secret at great personal risk. By 1700 [?] most surviving Sami had been converted and almost all Sami magic drums had been destroyed.           The skin of this drum has several layers of symbols and drawings. These are divided into bands that refer to different levels of the Sami universe. Highlighted at the top of the drum are reindeer being herded by figures holding staves or branches. This could represent a successful hunt in the human world, or perhaps a hunt in the realm of spirits and gods. We have no direct record of what these images mean from the people who used or made the drum. Each symbol may have more than one meaning. But we can attempt to understand them based on stories handed down and retold by Sami, and on information from other societies living around the Arctic who still use similar drums today.           The images on the drum represent the personal visions and experiences of a shaman, or noaidi, which he sketched out to represent his dangerous journey through the different levels of the Sami universe to communicate with spirits. The lower part of the drum may represent the Sami underworld. You can see highlighted the outline of a figure steering a boat across the great underworld sea. This may have associations with the moon, which appears behind the figure. Underworld boats are also associated with the sun, which is carried by boat every night on its return journey to a new sunrise. The sun image is repeated several times, representing its daily journey across the sky from east to west, as well as its return journey through the underworld. The sun outlined [in x] is just cresting the horizon, possibly referring to the winter solstice, the darkest time of year, but also important as a time of transition.            Sami people, once known as the Lapps, live in arctic and sub-arctic Europe. Their homeland, named Sapmi, covers parts of northern Norway, Sweden, Finland, as well as the Kola Peninsula in Russia. The area is marked on maps to your left. For almost three thousand years Sami lived as hunters and gatherers. But from about 1500 they became semi-nomadic, herding reindeer and trapping animals in the north, fishing along the coast and farming in the south. Today there are about 100,000 Sami. Although most live in towns and cities, rural life is still at the heart of Sami identity. The images on the magic drum, of reindeer herding, fishing and the winter solstice, remain important cultural symbols for Sami people. They represent continuity with the land and their ancestors.            For Sami people there was more to the world than the surface appearance of things. There were parallel worlds that could be entered through dreams and trance. It was here that you could find the powers and spirits that controlled daily life in the waking world. One of the most important people in a Sami community was the shaman, or 'noaidi', someone who could communicate between these worlds. The most vital tool of a 'noaidi' was his drum. In front of a flickering fire, he would take the drum and beat it rhythmically in a public performance, using the sound like a drug to enter a trance. In this altered state, he could transform into other creatures, or even into a breath of wind, to enter the world of dreams. Here he negotiated with the spirits over disease and death, life and fertility, fish and game, good weather and storms.             The skin of the drum on display is now loose and cannot be played, but its sound might have been similar to the drumming used in Yoik music. Yoik refers to one of several traditional types of Sami chanting.' (Robert Storrie)  For further discussion of Sámi drums, see 'Peasant Art in Sweden, Lapland and  Iceland', Autumn Number of 'The Studio' 1910, section on Lapland, p. 37,  and Veli-Pekka Lehtola, 'The Sámi people: Traditions in Transition', University of Alaska Press 2004, p. 29. See also exhibition catalogue, 'Sámi Dáidda' (Sámi art), Nordiskt Konstcentrum, Helsinki 1981, p. 58-9, pl. 14.          The drum is probably from the region of Pite, north of Vapsten, Sweden  or the central Sàmi region in view of the images depicted (information supplied by Morten Olsen Haugen, November 2014).",shammond,16 Jul 2009,,,,,L~W~X,39.00~33.50~10.00,~~,cm~cm~cm,~~,,Arctic: Culture and Climate,"Encountering weather gods The images drawn with alder-bark pigment  on this wooden and reindeer-hide drum depict encounters between a noaidi , a Sámi spiritual expert, and various gods, including Fertility and Thunder. During the 1600s, noaidi were tried for witchcraft by Protestant reformers and their drums burned, acquired by private collectors and eventually sent to museums.",,,,,,,"Exhibited: (Has Mount) 2020-2021 October-Feb, London, BM, Arctic: culture and climate 2017-2018 2 Nov-8 Apr, BM Gallery 35, Living with gods 2005 27 Oct-2006 31 Jan, Haengso Museum, Keimyung University, Daegu, Treasures of the World's Cultures 2005 25 Jul-8 Oct, Busan Museum, Treasures of the World's Cultures 2005 11 Apr-10 Jul, Seoul Arts Centre, Treasures of the World's Cultures 2004 26 Jun-29 Aug, Niigata Bandaijima Art Museum, Treasures of the World's Cultures 2004 10 Apr-13 Jun, Fukuoka Art Museum, Treasures of the World's Cultures 2004 17 Jan-28 Mar, Kobe City Museum, Treasures of the World's Cultures 2003 18 Oct-14 Dec, Tokyo Metropolitan Art Museum, Treasures of the World's Cultures",,Europe~Russia~Sweden~Finland~Norway~USSR,F~F~F~F~F~F,~~~~~,? Lappland ?~?~?~?~?~?,,,,,,,,,,,WCEC/B3/bay6/rack10a/unit3/6,,,03 Mar 2021,cmcgowan,,,1,"Possibly acquired by Sloane from the Royal Society, and thus likely to be the drum given to the Royal Society in 1681 by John Heysig-Ridderstjerna of Sweden (see Ernst Manker, 'Die lappische Zaubertrommmel' (1938/1950).",Eu1753D10.1103,CDMS number,old CDMS no.,,,,,,,,,,,1500-1700,,Sámi,M,,Norway~Sweden~Finland~Russia,M~M~M~M,~~~,?~?~?~?,CL,H,EEU,,,O,,,,,,,
RRM3,SLMisc.343,PRO207077,"Sloane, Hans;",B;,;,1753,ewer,https://www.britishmuseum.org/collection/object/W_SLMisc-343,,glass~metal~gold,~~,gilded,,,,,Ewer (with lid + spout). Floral cartouches & arabesques. Made of blue and gilded glass (translucent); also metal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sloane Bequest,,,,,,,,H~W~X,28.00~23.50~10.00,~~,cm~cm~cm,~~,,G33 2017,IR Islamic,,,,,,,,,India,F,,,Location is John Addis Gallery but object has been temporarily removed.,,,,,,,,,,G33/dc62b/s3,G,,13 Mar 2018,cfsmith,Mughal dynasty,,1,,,,,,,,,,,,,,,17thC-18thC,circa,,,,,,,,CL,W,RRM,,,SRC~O,,,,,,,
MCN5900,SLBCameos.244,PRO208891,"Sloane, Hans;",B;,;,1753,intaglio,https://www.britishmuseum.org/collection/object/H_SLBCameos-244,,agate,,engraved~intaglio,~,,,,Intaglio; black agate; bust of African woman wearing skull-cap and pendant; mounted on white base.,african,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RL,Sloane Bequest,Text from Sloane's Manuscript catalogue: 'Africani bustum in achate nigro'.,aluthi,23 Sep 2008,,,,,L,3.60,,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,G1/wp181,G,,11 Aug 2004,,Post-Medieval,,1,,,,,,,,,,,,,,,16thC-17thC,,,,,,,,,CL,H,MCN,,,RC~R~O,,,,,,,
RRC3753,SLMisc.418,PRO207077,"Sloane, Hans;",B;,;,1753,seal,https://www.britishmuseum.org/collection/object/A_SLMisc-418,,jasper~stone,~,,,,,,Seal with knob in the shape of a rectangular pillar with a key-fret patterned band round the knob and character shou 壽 (longevity) in four stylized styles on four sides and a stylized dragon on the top of the knob. The base was carved with four character inscription 師論之印 (Seal of Being an Educator) in intaglio. Made of jasper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sloane Bequest,"The inscription, 'Seal of Being an Educator' 師論之印, possibly refers to the essay 'On Being an Educator' written by Han Feizi (韓非子 280BC-233BC) , a reknowned Chinese philosopher during the late Warring States period. ~In Sloane's own manuscript catalogue of his 'Miscellanies' (AOA library, BM), this was catalogued as ""418. One of their Seals or characters in redish alabaster or marble.""",mwang~ksloan,14 Nov 2019~30 Oct 2019,,,,,H~W~X,6.20~2.40~2.30,~~,cm~cm~cm,~~,,,,,,,,,,"Exhibited:    2009 24 Jan-19 Apr, Bristol City Museum and Art Gallery, 'China: Journey to the East'  2009 2 May-19 Jul, Coventry, The Herbert, 'China: Journey to the East'  2009 1 Aug-1 Dec, Basingstoke, The Willis Museum, 'China: Journey to the East'   2010 29 Jan-9 May, Sunderland, Tyne and Wear Museums, 'China: Journey to the East'  2010 22 May-15 Aug, York, Yorkshire Museums Trust, 'China: Journey to the East'  2010-2011 25 Sep-26 Jun, Manchester Museum, 'China: Journey to the East' 2011 – 2012 Dec – Apr, Sheffield Museums, ‘China: Journey to the East’",,China,F,,,Duplicate Asian ethnography record EAS129 deleted 09.2008,seal,Chinese,base,師論之印,seal script,,Seal of Being an Educator,shi lun zhi yin,,G1/fc18,G,,23 May 2012,,,,1,,,,,ETH (Prev.Dept),,,,,,,,,,17thC,,,,,China,M,,,CL,A,RRC,,,SRC~O,,,,,,,
RRC3755,SLMisc.898,PRO207077,"Sloane, Hans;",B;,;,1753,seal,https://www.britishmuseum.org/collection/object/A_SLMisc-898,,quartz~mineral,~,,,,,,"Seal with knob in the shape of a lion dog and carved with two-character inscription in relief in seal script on base. Made of quartz, crystal.",lion dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sloane Bequest,"SlMisc.898 Registration number checked against Sloane Misc. Catalogue. 20.11.2019~'The word crystal (shuijing水晶) is composed of shui (水) meaning 'water' and jing (晶) 'brilliant'. Rock crystal is also known as shuiyu (水玉) or 'water jade' and was understood to be petrified water. Crystal has long been prized in China for its purity and clarity, qualities that made it popular among the literati of Imperail China with their respect for learning and uprightness. Snuff bottles, calligraphy accessories, offical hat finials and buttons, and chops can all be found made of beautifully carved crystal. Large pieces of uncarved crystal were also collected as works of art in themselves.' Chinese Art, A Guide to Motifs and Visual Imagery by Patricia Bjaaland Welch, P62   ~In Sloane's own manuscript catalogue of his collection of Miscellanies (AOA Library, BM), he describes this as: ""898. A Chinese or Japanese seal, letter mark or word cutt upon chrystall which is an inch square made cubicalll & on which is carved a lyon } 0.5.0."" There is a drawing in pen and ink of the two characters on the base next to the entry, which was probably drawn by A.W. Franks in 1854 (his initials and date are inscribed next to the entry.  The following entry in the the catalogue is ""899. Another ---"" This seal has not yet been identified in the surviving collections.",jharrison_hall~mwang~ksloan,20 Nov 2019~14 Nov 2019~30 Oct 2019,,,,,H~W~X,5.80~2.70~2.70,~~,cm~cm~cm,~~,,,,,,,,,,"Exhibited:  2009 24 Jan-19 Apr, Bristol City Museum and Art Gallery, 'China: Journey to the East' 2009 2 May-19 Jul, Coventry, The Herbert, 'China: Journey to the East' 2009 1 Aug-1 Dec, Basingstoke, The Willis Museum, 'China: Journey to the East'  2010 29 Jan-9 May, Sunderland, Tyne and Wear Museums, 'China: Journey to the East' 2010 22 May-15 Aug, York, Yorkshire Museums Trust, 'China: Journey to the East' 2010-2011 25 Sep-26 Jun, Manchester Museum, 'China: Journey to the East' 2011 – 2012 Dec – Apr, Sheffield Museums, ‘China: Journey to the East’",,China,F,,,(PLACE: China/C(?); Japan/C (?),seal,Chinese,base,護封,Seal script,,sealed herewith,hu feng,,G1/fc18,G,,23 May 2012,,Ming dynasty~Qing dynasty,~,1,,"As,SLMisc.898~As1753D10.898",Other BM number~CDMS number,As (Asia)~old CDMS no,,,,,,,,,,,17thC,,,,,China,M,,Japan was also mentioned in Sloane Misc. Catalogue as a possible production place ,CL,A,RRC,,,SRC~O,,,,,,,
